time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
13.584349,1.20916035605,-0.224728185425,-0.938029251792,1.31500503041,1.95735948534,-0.773893307488,-0.521936963078,43.2727279663,-1.63982546225,0.225111680622,-0.0908883616822,1.4565147581,-3.03191302726,-0.722888446291,-1.8990682154,100.0
13.594349,1.20800987046,-0.225878671016,-0.936111775807,1.31232056404,1.95966045652,-0.78002923064,-0.533441818987,43.2727279663,-1.64059245264,0.226262166213,-0.0905048664852,1.4557477677,-3.03229652245,-0.722504951094,-1.8994517106,100.0
13.604357,1.20877686085,-0.225495175819,-0.934961290216,1.30848561207,1.96119443731,-0.786165153791,-0.54571366529,43.2727279663,-1.63982546225,0.226262166213,-0.0908883616822,1.45689825329,-3.03152953206,-0.722888446291,-1.89868472021,100.0
13.614356,1.20762637526,-0.22664566141,-0.932276823837,1.30541765049,1.96349540849,-0.792301076943,-0.557985511593,43.2727279663,-1.64059245264,0.22664566141,-0.0901213712883,1.4565147581,-3.03229652245,-0.722888446291,-1.8998352058,100.0
13.624354,1.20800987046,-0.227029156607,-0.930742843049,1.30234968891,1.96617987487,-0.798820495291,-0.570640853093,43.2727279663,-1.64020895745,0.226262166213,-0.0908883616822,1.4565147581,-3.03344700804,-0.722888446291,-1.89830122501,100.0
13.634361,1.20685938487,-0.228179642198,-0.928058376671,1.29966522254,1.96886434125,-0.806106904034,-0.582912699396,43.2727279663,-1.64059245264,0.225878671016,-0.0897378760913,1.4565147581,-3.03191302726,-0.722888446291,-1.8990682154,100.0
13.644382,1.20724288007,-0.229330127789,-0.925757405489,1.29774774655,1.97193230283,-0.812626322382,-0.595951536093,43.2727279663,-1.64020895745,0.22664566141,-0.0905048664852,1.45689825329,-3.03383050324,-0.723271941488,-1.8994517106,100.0
13.654385,1.20839336566,-0.230097118183,-0.922689443913,1.29276230899,1.9753837596,-0.819529235928,-0.608990372791,43.2727279663,-1.63944196705,0.225878671016,-0.0905048664852,1.45728174849,-3.03268001765,-0.722888446291,-1.89868472021,100.0
13.664356,1.20724288007,-0.23048061338,-0.920771967928,1.2912283282,1.97960220677,-0.827199139867,-0.622029209488,43.2727279663,-1.64020895745,0.225878671016,-0.0901213712883,1.45689825329,-3.03306351285,-0.722504951094,-1.89868472021,100.0
13.674336,1.20724288007,-0.232014594168,-0.918854491943,1.28892735702,1.98382065393,-0.83448554861,-0.635451541382,43.2727279663,-1.63944196705,0.226262166213,-0.0908883616822,1.4557477677,-3.03306351285,-0.722888446291,-1.8990682154,100.0
13.684383,1.20724288007,-0.233165079759,-0.916553520762,1.28624289064,1.98957308189,-0.842538947746,-0.648873873276,43.2727279663,-1.63982546225,0.226262166213,-0.0901213712883,1.4557477677,-3.03306351285,-0.722888446291,-1.89868472021,100.0
13.694383,1.20685938487,-0.233932070153,-0.915019539974,1.28240793867,1.99417502425,-0.849825356489,-0.66344669076,43.2727279663,-1.64020895745,0.225495175819,-0.0905048664852,1.45689825329,-3.03344700804,-0.722504951094,-1.8998352058,100.0
13.704354,1.20762637526,-0.235082555743,-0.911568083201,1.2793399771,1.99992745221,-0.857111765231,-0.67610203226,43.2727279663,-1.64020895745,0.226262166213,-0.0901213712883,1.4565147581,-3.03268001765,-0.723271941488,-1.8994517106,100.0
13.714367,1.20800987046,-0.235849546137,-0.908883616822,1.27703900591,2.00452939457,-0.864398173973,-0.691058344942,43.2727279663,-1.64059245264,0.226262166213,-0.0908883616822,1.4557477677,-3.03344700804,-0.723271941488,-1.8998352058,100.0
13.724365,1.20839336566,-0.237000031728,-0.905815655246,1.27320405394,2.0133497841,-0.87245157311,-0.70524766723,43.2727279663,-1.64059245264,0.226262166213,-0.0901213712883,1.4565147581,-3.03268001765,-0.722504951094,-1.8990682154,100.0
